"","game_year","player_name","arm_angle","arm_slot","throws","pitch_name","avg_pitch_velo","avg_release_spin","height"
"1",2015,"Neftali Feliz",47.75,"Three-Quarters","R","4-Seam Fastball",95.23,2437.44,6.25
"2",2015,"Neftali Feliz",52.03,"Three-Quarters","R","Slider",84.1,2060.31,6.25
"3",2015,"Neftali Feliz",52.26,"Three-Quarters","R","Changeup",87.08,1858.14,6.25
"4",2015,"Jose Alvarez",53.76,"Three-Quarters","R","Slider",85.28,2102.48,5.83
"5",2015,"Jose Alvarez",52.47,"Three-Quarters","R","4-Seam Fastball",91.42,2271.28,5.83
"6",2015,"Jose Alvarez",53.82,"Three-Quarters","R","2-Seam Fastball",91.19,2191.6,5.83
"7",2015,"Jose Alvarez",53.92,"Three-Quarters","R","Changeup",79.42,1568.58,5.83
"8",2015,"Glen Perkins",57,"Three-Quarters","L","4-Seam Fastball",94.45,2161.35,6
"9",2015,"Glen Perkins",59.78,"Three-Quarters","L","2-Seam Fastball",93.75,1990.24,6
"10",2015,"Tyler Olson",66.89,"Three-Quarters","L","4-Seam Fastball",89.25,2210.33,6.25
"11",2015,"Tyler Olson",68.62,"Three-Quarters","L","Curveball",75.25,2773.25,6.25
"12",2015,"Jason Garcia",55.77,"Three-Quarters","R","4-Seam Fastball",93.95,2290.63,6
"13",2015,"Jason Garcia",55.01,"Three-Quarters","R","2-Seam Fastball",93.72,2199.43,6
"14",2015,"Jason Garcia",56.09,"Three-Quarters","R","Slider",85.71,1947.04,6
"15",2015,"Tyler Olson",63.89,"Three-Quarters","L","Intentional Ball",79.1,2060.94,6.25
"16",2015,"Jason Garcia",55.8,"Three-Quarters","R","Changeup",89.56,1504.55,6
"17",2015,"Casey Fien",66.55,"Three-Quarters","R","Slider",88.37,2396.84,6.17
"18",2015,"Casey Fien",59.6,"Three-Quarters","R","4-Seam Fastball",93.19,2438.25,6.17
"19",2015,"Casey Fien",64,"Three-Quarters","R","2-Seam Fastball",92.7,2506.6,6.17
"20",2015,"Jose Alvarez",52.91,"Three-Quarters","R","Curveball",75.43,1839.32,5.83
"21",2015,"Keone Kela",12.36,"Overhand","R","Curveball",84.74,2076.1,6.08
"22",2015,"Antonio Bastardo",51.11,"Three-Quarters","L","4-Seam Fastball",93.3,2468.13,5.92
"23",2015,"Keone Kela",5.8,"Overhand","R","4-Seam Fastball",96.21,2243.1,6.08
"24",2015,"Keone Kela",21.31,"Overhand","R","Changeup",89.88,1683.28,6.08
"25",2015,"Tyler Olson",71.05,"Side Arm","L","Sinker",88.87,2276.62,6.25
"26",2015,"Edward Mujica",30.98,"Three-Quarters","R","Split-Finger",85.8,1781,6.25
"27",2015,"Edward Mujica",35.19,"Three-Quarters","R","4-Seam Fastball",90.94,2243.58,6.25
"28",2015,"Tyler Olson",70.73,"Side Arm","L","Changeup",82.84,1475.33,6.25
"29",2015,"Luke Gregerson",32.82,"Three-Quarters","R","Sinker",89.95,2352.26,6.25
"30",2015,"Antonio Bastardo",50.6,"Three-Quarters","L","Changeup",86.04,2035.85,5.92
"31",2015,"Edward Mujica",37.26,"Three-Quarters","R","Slider",83.24,1842.82,6.25
"32",2015,"Joe Smith",92.03,"Submarine","R","4-Seam Fastball",89.37,2116.97,5.58
"33",2015,"Joe Smith",91.95,"Submarine","R","Sinker",88.62,1888.43,5.58
"34",2015,"Randall Delgado",35.35,"Three-Quarters","R","2-Seam Fastball",92.73,2137.48,6.33
"35",2015,"Tyler Clippard",32.1,"Three-Quarters","R","Changeup",79.52,2068.87,6.25
"36",2015,"Randall Delgado",33.21,"Three-Quarters","R","4-Seam Fastball",93.74,2196.85,6.33
"37",2015,"Tyler Clippard",16.96,"Overhand","R","4-Seam Fastball",92.06,2299.78,6.25
"38",2015,"Joe Smith",93.83,"Submarine","R","Slider",80.21,1970.13,5.58
"39",2015,"Randall Delgado",37.76,"Three-Quarters","R","Slider",82.21,1657.54,6.33
"40",2015,"Hector Rondon",53.54,"Three-Quarters","R","4-Seam Fastball",96.8,2076.21,6.25
"41",2015,"Francisco Rodriguez",28.8,"Overhand","R","Changeup",83.34,1632.21,6
"42",2015,"Francisco Rodriguez",35.7,"Three-Quarters","R","4-Seam Fastball",90.21,2106.36,6
"43",2015,"Fernando Rodney",42.35,"Three-Quarters","R","Changeup",83.26,1924.79,5.92
"44",2015,"Daniel Hudson",55.63,"Three-Quarters","R","4-Seam Fastball",96.72,2352.65,6.25
"45",2015,"Fernando Rodney",39.15,"Three-Quarters","R","2-Seam Fastball",95.39,2084.05,5.92
"46",2015,"Daniel Hudson",57.5,"Three-Quarters","R","2-Seam Fastball",96.65,2341.64,6.25
